source,target
"draft","Brouillon"
"incomplete","Incomplet"
"upcoming","À venir"
"late","En retard"
"paid","Payé"
"partially_paid","Partiellement payé"
"partially_cancelled","Partiellement annulé"
"cancelled","Annulé"
"credit_note","Avoir"
"archived","Archivé"
"proforma","Proforma"
"pending","En attente"
"accepted","Accepté"
"denied","Refusé"
"invoiced","Facturé"
"expired","Expiré"
"Pennylane Manager","Responsable Pennylane"
"Subscribed Events","Événements souscrits"
"Customer Invoice Created","Facture client créée"
"Quote Created","Devis créé"
"DMS File Created","Fichier DMS créé"
"Subscription Status","Statut de la souscription"
"Subscription ID","ID de souscription"
"Registered At","Enregistré le"
"Registered","Enregistré"
"Not registered","Non enregistré"
"Refresh Status","Rafraîchir le statut"
"Re-register","Ré-enregistrer"
"Webhooks","Webhooks"
"Webhook subscription #{0} is active.","La souscription webhook #{0} est active."
"No active webhook subscription found in Pennylane.","Aucune souscription webhook active trouvée dans Pennylane."
"This will delete the existing webhook subscription and create a new one. The signing secret will change. Continue?","Cela supprimera la souscription webhook existante et en créera une nouvelle. Le secret de signature changera. Continuer ?"
"Webhook re-registered (#{0}).","Webhook ré-enregistré (#{0})."
"Select at least one event to subscribe to before enabling webhooks.","Sélectionnez au moins un événement à souscrire avant d'activer les webhooks."
"Webhook URL could not be determined. Make sure the site URL is configured.","L'URL du webhook n'a pas pu être déterminée. Assurez-vous que l'URL du site est configurée."
"At least one subscribed event is required.","Au moins un événement souscrit est requis."
"Select at least one event before re-registering.","Sélectionnez au moins un événement avant de ré-enregistrer."
"When enabled, the app automatically registers a webhook subscription with Pennylane so that events (invoice created, quote created…) trigger an immediate sync instead of waiting for the next scheduled pull. Requires the site to be accessible via HTTPS.","Lorsqu'activé, l'application enregistre automatiquement une souscription webhook auprès de Pennylane afin que les événements (facture créée, devis créé…) déclenchent une synchronisation immédiate sans attendre la prochaine importation planifiée. Nécessite que le site soit accessible via HTTPS."
"Trigger an immediate sync when a customer invoice is created in Pennylane.","Déclenche une synchronisation immédiate lorsqu'une facture client est créée dans Pennylane."
"Trigger an immediate sync when a quote is created in Pennylane.","Déclenche une synchronisation immédiate lorsqu'un devis est créé dans Pennylane."
"Receive a notification when a DMS file is created in Pennylane (no automatic sync action).","Reçoit une notification lorsqu'un fichier DMS est créé dans Pennylane (aucune action de synchronisation automatique)."
"Pennylane subscription ID. Set automatically when the webhook is registered.","ID de souscription Pennylane. Défini automatiquement lors de l'enregistrement du webhook."
"Signing secret provided by Pennylane when the subscription was created. Used to verify the authenticity of incoming webhook requests.","Secret de signature fourni par Pennylane lors de la création de la souscription. Utilisé pour vérifier l'authenticité des requêtes webhook entrantes."
"HTTPS endpoint registered with Pennylane as the webhook destination.","Point d'entrée HTTPS enregistré auprès de Pennylane comme destination des webhooks."
"VAT Rates are managed by the system and cannot be modified.","Les taux de TVA sont gérés par le système et ne peuvent pas être modifiés."
"Pennylane Code","Code Pennylane"
"Exempt / Out of scope","Exonéré / Hors champ"
"TVA 20% — Taux normal","TVA 20% — Taux normal"
"TVA 10% — Taux intermédiaire","TVA 10% — Taux intermédiaire"
"TVA 5,5% — Taux réduit","TVA 5,5% — Taux réduit"
"TVA 2,1% — Taux particulier","TVA 2,1% — Taux particulier"
"TVA 0% — Exportations","TVA 0% — Exportations"
"Exonéré de TVA","Exonéré de TVA"
Actions,Actions
Advanced,Avancé
Amended From,Modifié depuis
Amount,Montant
"Amount (EUR)","Montant (EUR)"
API,API
"API Base URL","URL de base de l'API"
"API Token","Token API"
"Auto-generated secret used to verify that incoming requests originate from Pennylane. Copy it into the webhook secret field in Pennylane.","Secret généré automatiquement pour vérifier que les requêtes entrantes proviennent bien de Pennylane. Copiez-le dans le champ secret webhook de Pennylane."
"Billing Address","Adresse de facturation"
"Billing IBAN","IBAN de facturation"
"Billing Language","Langue de facturation"
City,Ville
"Company ID","ID entreprise"
Connected,Connecté
Connection,Connexion
"Connection Status","Statut de la connexion"
Contact,Contact
Contacts,Contacts
Country,Pays
"Copy this URL and register it as a webhook endpoint in Pennylane → Settings → Webhooks.","Copiez cette URL et enregistrez-la comme endpoint webhook dans Pennylane → Paramètres → Webhooks."
"Currency Amount","Montant en devise"
"Custom accounting label. Auto-generated by Pennylane if left empty.","Libellé comptable personnalisé. Généré automatiquement par Pennylane si laissé vide."
Currency,Devise
"Customer Invoices","Factures clients"
"Customer Name","Nom du client"
"Customer Type","Type de client"
Customers,Clients
"Deadline","Échéance"
"Delivery Address","Adresse de livraison"
Description,Description
Details,Détails
Discount,Remise
"Discount Type","Type de remise"
Direction,Direction
"Due Date","Date d'échéance"
Email,E-mail
"Enable Pennylane Integration","Activer l'intégration Pennylane"
"Enable Webhook Reception","Activer la réception des webhooks"
"Enables the synchronisation between Frappe and Pennylane. When disabled, all scheduled syncs and webhook processing are paused.","Active la synchronisation entre Frappe et Pennylane. Lorsqu'elle est désactivée, toutes les synchronisations planifiées et le traitement des webhooks sont suspendus."
"Endpoint URL","URL du point d'entrée"
"Error Message","Message d'erreur"
"EU VAT identification number (e.g. FR12345678901)","Numéro d'identification TVA intracommunautaire (ex. FR12345678901)"
"e.g. FR_200, FR_100, exempt","ex. FR_200, FR_100, exonéré"
"e.g. hour, piece, day","ex. heure, pièce, jour"
"External Reference","Référence externe"
Failed,Échec
"First Name","Prénom"
"Force Full Re-sync","Resynchronisation complète"
"Force Sync Description","Description de la resynchronisation"
"Frappe DocType","DocType Frappe"
"Frappe Document","Document Frappe"
"Full sync queued for: {0}","Synchronisation complète lancée pour : {0}"
"HTTP Status Code","Code HTTP"
Individual,Particulier
Integration,Intégration
"Internal product reference","Référence produit interne"
"Invoice Date","Date de facturation"
"Invoice Lines","Lignes de facture"
"Invoice Number","Numéro de facture"
Label,Libellé
Language,Langue
"Last Name","Nom de famille"
"Last Synced At","Dernière synchronisation"
"Last Tested","Dernier test"
"Ledger Account Number","Numéro de compte auxiliaire"
"No resource selected","Aucune ressource sélectionnée"
"Notify on Sync Failure","Notifier en cas d'échec de synchronisation"
"Not Tested","Non testé"
Notes,Notes
nothing,rien
Notifications,Notifications
Operation,Opération
"Override default auxiliary account (e.g. 411100344)","Remplace le compte auxiliaire par défaut (ex. 411100344)"
Payload,Payload
"Payment Conditions","Conditions de paiement"
Payment,Paiement
"PDF Customization","Personnalisation PDF"
"PDF Description","Description PDF"
"PDF Free Text","Texte libre PDF"
"PDF Subject","Sujet PDF"
"Pennylane API base URL. Do not change unless instructed by Pennylane support.","URL de base de l'API Pennylane. Ne pas modifier sauf instruction du support Pennylane."
"Pennylane company identifier. Retrieved automatically when the connection test succeeds.","Identifiant entreprise Pennylane. Récupéré automatiquement lors d'un test de connexion réussi."
"Pennylane ID","ID Pennylane"
Phone,Téléphone
"Postal Code","Code postal"
Products,Produits
"Pull customers from Pennylane and create or update Customer records in Frappe.","Importe les clients depuis Pennylane et crée ou met à jour les fiches Client dans Frappe."
"Pull customer invoices from Pennylane and create or update Sales Invoices in Frappe.","Importe les factures clients depuis Pennylane et crée ou met à jour les Factures de vente dans Frappe."
"Pull products and services from Pennylane and create or update Items in Frappe.","Importe les produits et services depuis Pennylane et crée ou met à jour les Articles dans Frappe."
"Pull quotes from Pennylane and create or update Quotations in Frappe.","Importe les devis depuis Pennylane et crée ou met à jour les Devis dans Frappe."
Quantity,Quantité
"Quote Date","Date du devis"
"Quote Lines","Lignes de devis"
"Quote Number","Numéro de devis"
Quotes,Devis
"Read-only cursors that track the last processed position in each Pennylane changelog. They advance automatically with each sync run.","Curseurs en lecture seule indiquant la dernière position traitée dans chaque journal de modifications Pennylane. Ils avancent automatiquement à chaque synchronisation."
Recipient,Destinataire
"References","Références"
Reference,Référence
"Registration Number","Numéro d'immatriculation"
"Request Payload","Corps de la requête"
"Resource Type","Type de ressource"
"Response Payload","Corps de la réponse"
"Retry Count","Nombre de tentatives"
Role,Rôle
"Run Full Sync","Lancer la sync complète"
"Select at least one resource to re-import in the Advanced tab, Force Full Re-sync section.","Sélectionnez au moins une ressource à réimporter dans l'onglet Avancé, section Resynchronisation complète."
"Clears the sync cursors for the selected resources and re-imports all matching records from Pennylane from scratch. Use with caution — this operation runs in the background and may take several minutes. Select the resources below then click Run Full Sync in the Actions menu.","Réinitialise les curseurs de synchronisation des ressources sélectionnées et réimporte tous les enregistrements depuis Pennylane. À utiliser avec précaution — cette opération s'exécute en arrière-plan et peut prendre plusieurs minutes. Sélectionnez les ressources ci-dessous puis cliquez sur Lancer la sync complète dans le menu Actions."
"Select which Pennylane resources should be pulled into Frappe automatically.","Sélectionnez les ressources Pennylane à importer automatiquement dans Frappe."
"Send an in-app alert to System Managers when a sync job fails repeatedly after automatic retries.","Envoie une alerte aux Gestionnaires système lorsqu'un job de synchronisation échoue à plusieurs reprises malgré les tentatives automatiques."
"SIREN or equivalent company registration number","SIREN ou numéro d'immatriculation équivalent"
"Source Quote","Devis source"
"Special Mention","Mention spéciale"
Status,Statut
"Sync Cursors","Curseurs de synchronisation"
"Sync Status","Statut de synchronisation"
"Tax & Registration","TVA & Immatriculation"
"This will re-import all selected resources from Pennylane and may take several minutes. Continue?","Cela réimportera toutes les ressources sélectionnées depuis Pennylane et peut prendre plusieurs minutes. Continuer ?"
"Title displayed on the invoice PDF","Titre affiché sur le PDF de la facture"
"Title displayed on the quote PDF","Titre affiché sur le PDF du devis"
"Unit Price","Prix unitaire"
Unit,Unité
"VAT Number","Numéro de TVA"
"VAT Rate","Taux de TVA"
"Webhook Configuration","Configuration du webhook"
"Webhook Reception","Réception des webhooks"
"Webhook Secret","Secret webhook"
Webhooks,Webhooks
"When enabled, Pennylane can push real-time events (invoice created, quote created…) to Frappe, triggering an immediate sync instead of waiting for the next scheduled pull.","Lorsqu'activé, Pennylane peut envoyer des événements en temps réel (facture créée, devis créé…) à Frappe, déclenchant une synchronisation immédiate sans attendre la prochaine importation planifiée."
"Your Pennylane API key. Find it in Pennylane → Settings → API Keys.","Votre clé API Pennylane. Disponible dans Pennylane → Paramètres → Clés API."
"Your Pennylane company identifier. Retrieved automatically when the connection test succeeds.","Votre identifiant entreprise Pennylane. Récupéré automatiquement lors d'un test de connexion réussi."
"Your own unique reference. Must be unique across all customers.","Votre référence unique. Doit être unique parmi tous les clients."
"Clears the sync cursors for the selected resources and re-imports all matching records from Pennylane from scratch. Use with caution — this operation runs in the background and may take several minutes.","Réinitialise les curseurs de synchronisation des ressources sélectionnées et réimporte tous les enregistrements correspondants depuis Pennylane. À utiliser avec précaution — cette opération s'exécute en arrière-plan et peut prendre plusieurs minutes."
"Connection status: {0}","Statut de connexion : {0}"
"Name of the person to whom the invoice is addressed","Nom de la personne à qui la facture est adressée"
"Free text block on the invoice PDF (e.g. contact details)","Bloc de texte libre sur le PDF de la facture (ex. coordonnées)"
"Free text block on the quote PDF (e.g. contact details)","Bloc de texte libre sur le PDF du devis (ex. coordonnées)"
"Invoice description (max 5,000 characters)","Description de la facture (max. 5 000 caractères)"
"Quote description (max 5,000 characters)","Description du devis (max. 5 000 caractères)"
"Additional legal or commercial mentions (max 20,000 characters)","Mentions légales ou commerciales supplémentaires (max. 20 000 caractères)"
"Quote this invoice was generated from","Devis à partir duquel cette facture a été générée"
"Total invoice amount in EUR (read from Pennylane)","Montant total de la facture en EUR (lu depuis Pennylane)"
"Total invoice amount in invoice currency (read from Pennylane)","Montant total de la facture dans la devise de la facture (lu depuis Pennylane)"
"Total quote amount in EUR (read from Pennylane)","Montant total du devis en EUR (lu depuis Pennylane)"
"Total quote amount in quote currency (read from Pennylane)","Montant total du devis dans la devise du devis (lu depuis Pennylane)"
"Resources to Synchronise","Ressources à synchroniser"
"Next Retry At","Prochaine tentative le"
"Accounting Label","Libellé comptable"
"Invoice description (max 5,000 characters)","Description de la facture (max. 5 000 caractères)"
"Telephone Number","Numéro de téléphone"
"Mobile Number","Numéro de mobile"
Rate,Taux
Deleted,Supprimé
"Clean up Deleted","Nettoyer les supprimés"
"This will permanently delete all records marked as Deleted. Continue?","Cela supprimera définitivement tous les enregistrements marqués comme Supprimé. Continuer ?"
"{0} record(s) deleted","{0} enregistrement(s) supprimé(s)"
"Cleaning up…","Nettoyage en cours…"
"Sync All","Synchroniser tout"
"Sync started in background","Synchronisation démarrée en arrière-plan"
"Permanently delete this record from Frappe?","Supprimer définitivement cet enregistrement de Frappe ?"
"Deleting…","Suppression en cours…"
